"replicate","variable","value"
29,"R0.2",745.744885857366
30,"R0.2",731.105394950978
31,"R0.2",713.123760499323
32,"R0.2",645.324382283631
33,"R0.2",580.475223758601
34,"R0.2",818.470069292275
35,"R0.2",310.708111270704
36,"R0.2",437.019480222958
37,"R0.2",266.773880767322
38,"R0.2",533.056252964853
39,"R0.2",928.039949047917
40,"R0.2",514.715931782672
41,"R0.2",385.432189425474
42,"R0.2",553.852929449115
43,"R0.2",831.925549251566
44,"R0.2",288.247940609627
45,"R0.2",848.076435309872
46,"R0.2",622.120589620274
47,"R0.2",378.02369944605
48,"R0.2",756.078219095675
49,"R0.2",766.35941963015
50,"R0.2",488.765563834404
51,"R0.2",324.114510560667
52,"R0.2",568.302038222442
53,"R0.2",851.187685999152
54,"R0.2",819.824116156705
55,"R0.2",332.60704112219
56,"R0.2",739.45993067659
57,"R0.2",530.713141357074
58,"R0.2",772.401014090756
59,"R0.2",517.805632500048
60,"R0.2",784.437833196891
61,"R0.2",993.964482854732
62,"R0.2",613.811330705342
63,"R0.2",717.054608970388
64,"R0.2",803.330161812032
65,"R0.2",389.745420069309
66,"R0.2",325.066584695198
67,"R0.2",969.131656907962
68,"R0.2",221.313169376912
69,"R0.2",774.858437358843
70,"R0.2",454.494732939557
71,"R0.2",691.310138761614
72,"R0.2",468.306610007587
73,"R0.2",733.978339662403
74,"R0.2",456.728017585567
75,"R0.2",480.208694894105
76,"R0.2",347.03441106135
77,"R0.2",701.239313651001
78,"R0.2",871.57369042535
79,"R0.2",684.891259412963
80,"R0.2",665.334697154049
81,"R0.2",878.128164965614
82,"R0.2",525.093926230737
83,"R0.2",889.571950889835
84,"R0.2",788.654003054453
85,"R0.2",745.073459761817
86,"R0.2",444.382286304744
87,"R0.2",607.60200861645
88,"R0.2",723.457496163428
89,"R0.2",349.075354293714
90,"R0.2",607.703301155728
91,"R0.2",552.011958794532
92,"R0.2",482.439262140954
93,"R0.2",762.39967834991
94,"R0.2",415.926128970139
95,"R0.2",648.784902844076
96,"R0.2",272.865887818741
97,"R0.2",852.403534062639
98,"R0.2",923.681110103629
99,"R0.2",767.50820409337
100,"R0.2",466.687254870401
